what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387353104868
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387353106911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387353133765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387353156110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387353166327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387354342886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387354344981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387354345877
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387354349420
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387354353556
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387354422992
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387354425135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387354430036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387354430810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387354431339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387354456427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387354458272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387354458919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387354462362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387354572721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387354580641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387355047767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387355048426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387355049778
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387355049929
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1387355050516
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1387355050818
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1387355050829
